model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,filter_1,filter_2,filter_3,filter_4,filter_5,discount_price,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  S6010101,bathroom and kitchen fittings,sanitary ware,Basin,kitchen sink,cera,CERA Wash basins - S6010101 SINK 450 x 300 x 150 mm,Sink, 3650,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/4001-Sink-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S6010103,bathroom and kitchen fittings,sanitary ware,Basin,kitchen sink,cera,CERA Wash basins - S6010103 SINK 600 x 400 x 250 mm,Sink, 9000,,,,,,,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/4002-Sink-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S6010102,bathroom and kitchen fittings,sanitary ware,Basin,kitchen sink,cera,CERA Wash basins - S6010102  SINK 600 X 400 X 200 mm,Sink, 8500,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/4002-Sink-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2090102,bathroom and kitchen fittings,sanitary ware,Basin,pedestals,cera,CERA Wash basins - CLEA,CLEA, 1585,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1102-Half-Pedestal-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2090103,bathroom and kitchen fittings,sanitary ware,Basin,pedestals,cera,CERA Wash basins - CLIO,CLIO Half Pedestal, 1870,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1103-Half-Pedestal-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2090101,bathroom and kitchen fittings,sanitary ware,Basin,pedestals,cera,CERA Wash basins - CRUX,CRUXFull Pedestal*New Cat No: S2090101, 2200,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2016/03/1108-Full-Pedestal-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030102,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - OVAL,Under/ Over Counter Wash Basin, 2750,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2020/10/OVAL-S2030102-CWB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030103,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - OVAL,Under/ Over Counter Wash Basin, 3040,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2020/10/OVAL-S2030103-CWB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030138,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CABELLA,Counter Top Wash Basin, 10050,,,,,,,,Snow White,https://www.cera-india.com/wp-content/uploads/2018/01/CABELLA-S2030138.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S2030101,bathroom and kitchen fittings,sanitary ware,Basin,wash basin,cera,CERA Wash basins - CLAIR,Counter Top Wash Basin 520 x 450 x 200 mm, 3080,,,,,,,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/CLAIR-S2030101-CWB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
