model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  F9025101CH,bathroom and kitchen fittings,sanitary ware,faucet,foot operated faucet,cera,CERA Faucets - F9025101 Protector Foot operated faucet,Foot operated faucet with hose pipes,3000,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/09/F9025101CH.jpeg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F9025102,bathroom and kitchen fittings,sanitary ware,faucet,foot operated faucet,cera,CERA Faucets - Protector with Spout,Foot operated faucet ,4060,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/09/F9025102.jpeg,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F1018101,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018101 Brooklyn Pillar cock with aerator,Pillar cock  with aerator,2520,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018101_BR_19177.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F1018102,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018102 Brooklyn Pillar cock with 305 mm body,Pillar cock with 305 mm (12”) long extended body and aerator,3430,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018102_BR_19216.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F1018451,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018451 Brooklyn Single lever basin mixer,Single lever basin mixer with 450 mm braided connection pipe (without pop-up),6740,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018451_BR_19270.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F1018452,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018452 Single lever extended basin mixer,Single lever basin mixer with 300 mm (12″) extended body and 600 mm braided connection pipe (without pop-up),7215,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018452-1.png,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F1018351 15 mm,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018351 Brooklyn Stop cock (15mm),"Stop cock consisting sleeve, lever, flange and",1945,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018351-Website.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F1018351 20 mm,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018351 Brooklyn Stop cock (20mm),"Stop cock consisting sleeve, lever, flange and",1970,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018351-Website.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F1018701,bathroom and kitchen fittings,sanitary ware,faucet,single lever faucet,cera,CERA Single Lever Faucets - F1018701 Brooklyn Single lever,"Single lever concealed diverter system consisting of Exposed part (lever, tip ton knob, flange) and Concealed part (40 mm cartridge with button assembly, cartridge sleeve)",2530,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2019/11/F1018701-Website.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
