model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  F7010107SS,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010107SS Rain Shower,Rain shower SS 304 with waterfall effect, 28960,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/deszczownica-Corsan-cmd59-.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010607AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010607AB Rain Shower,Self-cleaning rain shower, 5875,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010607AB-f11@cutout1467-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010513AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010513AB Rain Shower,Self-cleaning rain shower, 5940,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010513AB-f11@cutout1463-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7020310AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020310AB Overhead Shower,80 mm dia (3”), 935,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7020310AB-f11@cutout0091-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010213AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010213AB Overhead Shower,100 mm dia (4″) with 200 mm (8”) long shower arm and wall flange, 1350,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010213AB-f11@cutout1480-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010212AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010212AB Overhead Shower,125 mm dia (5″) with 200 mm (8”) long shower arm and wall flange, 1620,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010212AB-f11@cutout1479-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7020108AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7020108AB Overhead Shower,80 mm dia (3”) with 200 mm (8”) long shower arm and wall flange, 1325,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7020108AB-f11@cutout0095-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010609AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010609AB Overhead Shower,152 mm dia (6″), 2175,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010609AB-f11@cutout1476-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010518AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010518AB Overhead Shower,150 x 90 mm (6″ x 4″), 2230,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010518AB-f11@cutout1474-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F7010516AB,bathroom and kitchen fittings,sanitary ware,shower,overhead shower,cera,CERA Overhead Shower - F7010516AB Overhead Shower,200 x 150 mm (8″ x 6″), 2430,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/07/F7010516AB-f11@cutout1469-copy_sml.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
