Category,Sub_Category,Groups,Sub_Groups,Brand,Model_No,Product_Name,Product_Desc,Product_Price,Colors,Product_Image,Quantity,Rating,tags (for search engine ),Product_Available_Inventory_Pincodes
sanitary,sanitary ware,comboard,,cera,SKU:  S1059101,CERA EWCs - CONVENTIONAL PRO,EWC with combo pack," 4,610",Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1059101-CONVENTIONAL-PRO-WEB.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1053121,CERA EWCs - CELEB,Square EWC," 3,600",Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1053121-CELEB-WEB.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1057101,CERA EWCs - CONVENTIONAL with built in jet,EWC with built in jet," 4,070","Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2019/05/Conventional-with-Cajol-Seat-Cover-WEB.png,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1053101,CERA EWCs - CONVENTIONAL,EWC," 2,770","Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2019/05/Conventional-with-Cajol-Seat-Cover-WEB.png,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1053103,CERA EWCs - CAMELIA Concealed,EWC S Concealed with Camelia seat cover 570 x 390 x 400 mm," 3,890","Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/S1051103-CAMELIA-Concealed.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1053104,CERA EWCs - CAMELIA,EWC with Camelia seat cover 530 x 385 x 390 mm," 3,050","Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2019/09/S1050104-Camelia.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1053108,CERA EWCs - CIGNIA,EWC Concealed with Carina seat cover 555 x 360 x 400 mm," 3,770","Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/S1051108-CIGNIA-Concealed.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1053106,CERA EWCs - UNIVERSAL,EWC with Ceranglo deluxe seat cover 570 x 460 x 380 mm," 8,040","Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/Universal-S1050106-S-trap-WEB.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1013164,CERA EWCs - CONA,685 x 360 x 720 mm," 13,990",,https://www.cera-india.com/wp-content/uploads/2021/02/Cona.jpg,,,,
sanitary,sanitary ware,comboard,,cera,SKU:  S1013190,CERA EWCs - CEATTLE,One Piece EWC with soft close," 16,990",Snow White,https://www.cera-india.com/wp-content/uploads/2021/02/Ceatlle-S1013190.jpg,,,,
